,Status,City
438,current,Gambarsari
439,current,Margasana
440,current,Pesawahan
441,current,Tugu
442,current,Tengah
443,current,Jatilawang
444,success,Diwek
445,success,Jombang
446,current,Desa Kaler Gunungcupu
447,success,Pemalang
448,current,Brak
449,current,Cimamut
450,current,Doudo
451,current,Sambipondok
452,current,Jetis
453,city not found,Sungaitinta
454,current,Babakbawo
455,current,Glatik
456,current,Bulangan
457,current,Prupuh
458,current,Pantenan
459,current,Madumulyorejo
460,current,Ujungpangkah
461,current,Sambogunung
462,city not found,Bengkosobung
463,current,Ketapang
464,current,Krajan Pangkah Kulon
465,current,Kertosonopilang
466,current,Ketanen
467,current,Mentaras
468,current,Siwalan
469,current,Wadeng
470,current,Sidokumpul
471,current,Golokan
472,current,Saniwonorejo
473,current,Tiremenggal
474,success,Gresik
475,current,Sembungan Kidul
476,current,Kauman
477,city not found,Rujing
478,current,Asemanis
479,current,Tambak
480,success,Weru
481,current,Sekapuk
482,city not found,Grejeg Selatan
483,current,Raci Kulon
484,current,Wonokerto
485,current,Gampeng
486,current,Gosari
487,current,Srowo
488,city not found,Telukjati
489,current,Petung
490,current,Lowayu
491,current,Pengulu
492,current,Bangeran
493,current,Mojosari
494,current,Kebonagung
495,current,Mojopetung
496,current,Gupakan
497,current,Banyulegi
498,city not found,Suwari Timur
499,current,Sumampir
500,current,Sidayu
501,current,Bunderan
502,current,Karangrejo
503,current,Asempapak
504,current,Watuguling
505,current,Wotan
506,current,Mojoasem
507,current,Sedagaran
508,current,Randuboto
509,current,Tebuwung
510,current,Sukorejo
511,current,Gopaan
512,current,Bolo
513,current,Sidomulyo
514,current,Delegan
515,current,Campurrejo
516,success,Gedangan
517,current,Waru Lor
518,current,Sukodono
519,current,Mriyunan
520,current,Serah
521,current,Banyutengah
522,success,Purwodadi
523,current,Canga’an
524,current,Ngembo
525,current,Sudimara
526,success,Lasem
527,current,Imaan
528,current,Kemeduran
529,city not found,Eler
530,current,Jepara
531,current,Paloh
532,success,Purbalingga
533,current,Mungkid
534,success,Purwakarta
535,success,Bangil
536,city not found,Lanpelan
537,city not found,Rokem Barat
538,city not found,Pogag
539,current,Kendal
540,current,Batuputih
541,city not found,Langdulang
542,city not found,Brumbung Laok
543,city not found,Barajalan
544,city not found,Palalang
545,city not found,Bong
546,city not found,Baban
